XY,-98,-97,-64,-29,-15,12,37,65,73,78
-97,0.014,0.024,0.028,0.008,0.036,0.022,0.028,0.024,0.004,0.012
-66,0.0042,0.0072,0.0084,0.0024,0.0108,0.0066,0.0084,0.0072,0.0012,0.0036
-53,0.0112,0.0192,0.0224,0.0064,0.0288,0.0176,0.0224,0.0192,0.0032,0.0096
-42,0.0007,0.0012,0.0014,0.0004,0.0018,0.0011,0.0014,0.0012,0.0002,0.0006
-30,0.0147,0.0252,0.0294,0.0084,0.0378,0.0231,0.0294,0.0252,0.0042,0.0126
-4,0.0035,0.006,0.007,0.002,0.009,0.0055,0.007,0.006,0.001,0.003
-2,0.0035,0.006,0.007,0.002,0.009,0.0055,0.007,0.006,0.001,0.003
39,0.0063,0.0108,0.0126,0.0036,0.0162,0.0099,0.0126,0.0108,0.0018,0.0054
47,0.0014,0.0024,0.0028,0.0008,0.0036,0.0022,0.0028,0.0024,0.0004,0.0012
50,0.0105,0.018,0.021,0.006,0.027,0.0165,0.021,0.018,0.003,
